Frame No,timestamp,Classifier1,Classifier2
15.0,0.5,0.0,3.0
18.0,0.6,0.0,3.0
19.0,0.6333333333333333,0.0,3.0
21.0,0.7,0.0,3.0
22.0,0.7333333333333333,0.0,3.0
23.0,0.7666666666666666,0.0,3.0
24.0,0.8,0.0,3.0
25.0,0.8333333333333334,0.0,3.0
26.0,0.8666666666666667,0.0,3.0
27.0,0.9,0.0,3.0
28.0,0.9333333333333333,0.0,3.0
29.0,0.9666666666666667,0.0,3.0
30.0,1.0,0.0,3.0
31.0,1.0333333333333332,0.0,3.0
32.0,1.0666666666666667,0.0,3.0
33.0,1.1,0.0,3.0
34.0,1.1333333333333333,0.0,3.0
35.0,1.1666666666666667,0.0,3.0
36.0,1.2,0.0,3.0
37.0,1.2333333333333334,0.0,3.0
38.0,1.2666666666666666,0.0,3.0
39.0,1.3,0.0,3.0
40.0,1.3333333333333333,0.0,3.0
41.0,1.3666666666666667,0.0,3.0
42.0,1.4,0.0,7.0
43.0,1.4333333333333333,0.0,3.0
44.0,1.4666666666666666,0.0,3.0
45.0,1.5,0.0,3.0
46.0,1.5333333333333332,0.0,3.0
47.0,1.5666666666666667,0.0,3.0
48.0,1.6,0.0,3.0
49.0,1.6333333333333333,0.0,3.0
50.0,1.6666666666666667,0.0,3.0
51.0,1.7,0.0,3.0
52.0,1.7333333333333334,0.0,3.0
53.0,1.7666666666666666,0.0,3.0
54.0,1.8,0.0,3.0
55.0,1.8333333333333333,0.0,3.0
56.0,1.8666666666666667,0.0,3.0
57.0,1.9,0.0,3.0
58.0,1.9333333333333333,0.0,3.0
59.0,1.9666666666666666,0.0,3.0
60.0,2.0,0.0,3.0
61.0,2.033333333333333,0.0,3.0
162.0,5.4,0.0,4.0
163.0,5.433333333333334,0.0,4.0
164.0,5.466666666666667,0.0,4.0
165.0,5.5,0.0,4.0
166.0,5.533333333333333,0.0,4.0
167.0,5.566666666666666,0.0,4.0
168.0,5.6,0.0,4.0
169.0,5.633333333333333,0.0,4.0
170.0,5.666666666666667,0.0,4.0
171.0,5.7,0.0,4.0
172.0,5.733333333333333,0.0,4.0
173.0,5.766666666666667,0.0,4.0
174.0,5.8,0.0,4.0
175.0,5.833333333333333,0.0,4.0
176.0,5.866666666666666,0.0,4.0
177.0,5.9,0.0,4.0
178.0,5.933333333333334,0.0,4.0
179.0,5.966666666666667,0.0,4.0
180.0,6.0,0.0,4.0
181.0,6.033333333333333,0.0,4.0
182.0,6.066666666666666,0.0,4.0
183.0,6.1,0.0,4.0
184.0,6.133333333333333,0.0,4.0
185.0,6.166666666666667,0.0,4.0
186.0,6.2,0.0,4.0
187.0,6.233333333333333,0.0,4.0
188.0,6.266666666666667,0.0,4.0
189.0,6.3,0.0,4.0
190.0,6.333333333333333,0.0,4.0
191.0,6.366666666666666,0.0,4.0
192.0,6.4,0.0,4.0
193.0,6.433333333333334,0.0,4.0
194.0,6.466666666666667,0.0,4.0
195.0,6.5,0.0,4.0
196.0,6.533333333333333,0.0,4.0
197.0,6.566666666666666,0.0,4.0
198.0,6.6,0.0,4.0
199.0,6.633333333333333,0.0,4.0
200.0,6.666666666666667,0.0,4.0
201.0,6.7,0.0,4.0
202.0,6.733333333333333,0.0,4.0
203.0,6.766666666666667,0.0,4.0
204.0,6.8,0.0,4.0
205.0,6.833333333333333,0.0,4.0
206.0,6.866666666666666,0.0,4.0
207.0,6.8999999999999995,0.0,4.0
208.0,6.933333333333334,0.0,4.0
209.0,6.966666666666667,0.0,4.0
210.0,7.0,0.0,4.0
211.0,7.033333333333333,0.0,4.0
